id,node_type,wiki_url
Clemens Brentano,expanded,https://en.wikipedia.org/wiki/Clemens_Brentano
Clinical psychology,expanded,https://en.wikipedia.org/wiki/Clinical_psychology
Coaching psychology,expanded,https://en.wikipedia.org/wiki/Coaching_psychology
Cognition,expanded,https://en.wikipedia.org/wiki/Cognition
Cognitive neuroscience,expanded,https://en.wikipedia.org/wiki/Cognitive_neuroscience
Cognitive psychology,expanded,https://en.wikipedia.org/wiki/Cognitive_psychology
Cognitivism (psychology),expanded,https://en.wikipedia.org/wiki/Cognitivism_%28psychology%29
Coherence theory of truth,expanded,https://en.wikipedia.org/wiki/Coherence_theory_of_truth
Coleridge's theory of life,expanded,https://en.wikipedia.org/wiki/Coleridge%27s_theory_of_life
Colin Wilson,expanded,https://en.wikipedia.org/wiki/Colin_Wilson
Community psychology,expanded,https://en.wikipedia.org/wiki/Community_psychology
Comparative psychology,expanded,https://en.wikipedia.org/wiki/Comparative_psychology
Compatibilism,expanded,https://en.wikipedia.org/wiki/Compatibilism
Competence (polyseme),expanded,https://en.wikipedia.org/wiki/Competence_%28polyseme%29
Computer art,expanded,https://en.wikipedia.org/wiki/Computer_art
Conceit,expanded,https://en.wikipedia.org/wiki/Conceit
Conceptions of God,expanded,https://en.wikipedia.org/wiki/Conceptions_of_God
Concubine,expanded,https://en.wikipedia.org/wiki/Concubine
Conformity,expanded,https://en.wikipedia.org/wiki/Conformity
Consciousness,expanded,https://en.wikipedia.org/wiki/Consciousness
Constantin Negruzzi,expanded,https://en.wikipedia.org/wiki/Constantin_Negruzzi
Consumer behaviour,expanded,https://en.wikipedia.org/wiki/Consumer_behaviour
Content analysis,expanded,https://en.wikipedia.org/wiki/Content_analysis
Continental Prophecies,expanded,https://en.wikipedia.org/wiki/Continental_Prophecies
Continental philosophy,expanded,https://en.wikipedia.org/wiki/Continental_philosophy
Continental prophecies,expanded,https://en.wikipedia.org/wiki/Continental_prophecies
Continuum (sculpture),expanded,https://en.wikipedia.org/wiki/Continuum_%28sculpture%29
Coppet group,expanded,https://en.wikipedia.org/wiki/Coppet_group
Correspondence theory of truth,expanded,https://en.wikipedia.org/wiki/Correspondence_theory_of_truth
Cosmological argument,expanded,https://en.wikipedia.org/wiki/Cosmological_argument
Cosmopolitanism,expanded,https://en.wikipedia.org/wiki/Cosmopolitanism
Counseling psychology,expanded,https://en.wikipedia.org/wiki/Counseling_psychology
Counter-Enlightenment,expanded,https://en.wikipedia.org/wiki/Counter-Enlightenment
Counterculture of the 1960s,expanded,https://en.wikipedia.org/wiki/Counterculture_of_the_1960s
Creationism,expanded,https://en.wikipedia.org/wiki/Creationism
Creator in Buddhism,expanded,https://en.wikipedia.org/wiki/Creator_in_Buddhism
Crisis of self-surrender,expanded,https://en.wikipedia.org/wiki/Crisis_of_self-surrender
Critical psychology,expanded,https://en.wikipedia.org/wiki/Critical_psychology
Criticism of religion,expanded,https://en.wikipedia.org/wiki/Criticism_of_religion
Croatian interlace,expanded,https://en.wikipedia.org/wiki/Croatian_interlace
